product_id,date,stock_received,damaged_stock
153019,Mar-23,4,1
848226,Mar-23,4,1
965755,Mar-23,1,0
39154,Mar-23,4,0
34186,Mar-23,3,1
478531,Mar-23,4,1
812607,Mar-23,4,0
818990,Mar-23,4,0
284460,Mar-23,4,0
654297,Mar-23,4,1
376447,Mar-23,4,0
888807,Mar-23,1,0
41853,Mar-23,4,0
257719,Mar-23,4,0
799952,Mar-23,3,0
833557,Mar-23,4,0
324809,Mar-23,1,0
592784,Mar-23,3,0
487065,Mar-23,4,0
734789,Mar-23,4,0
654623,Mar-23,4,0
990993,Mar-23,1,0
762527,Mar-23,4,0
602241,Mar-23,1,1
491521,Mar-23,3,0
832348,Mar-23,3,1
567671,Mar-23,4,0
540618,Mar-23,3,0
687218,Mar-23,3,1
328457,Mar-23,3,0
300159,Mar-23,3,1
378676,Mar-23,3,0
532965,Mar-23,4,0
305754,Mar-23,1,0
611575,Mar-23,3,0
621677,Mar-23,3,0
306177,Mar-23,4,0
901144,Mar-23,3,0
53833,Mar-23,4,0
490602,Mar-23,4,0
287070,Mar-23,1,0
317242,Mar-23,3,0
461804,Mar-23,3,0
820541,Mar-23,3,0
91670,Mar-23,3,1
144124,Mar-23,3,1
677542,Mar-23,1,0
604184,Mar-23,1,0
968887,Mar-23,4,0
700048,Mar-23,3,1
473647,Mar-23,3,0
753354,Mar-23,3,0
490939,Mar-23,4,0
970529,Mar-23,3,1
433521,Mar-23,3,1
927651,Mar-23,3,0
942001,Mar-23,3,1
585299,Mar-23,3,0
52729,Mar-23,4,0
661577,Mar-23,3,0
951463,Mar-23,4,0
243235,Mar-23,3,1
564692,Mar-23,2,0
131748,Mar-23,2,0
913428,Mar-23,2,0
726958,Mar-23,3,0
425341,Mar-23,1,0
677169,Mar-23,2,0
26060,Mar-23,3,0
237083,Mar-23,2,0
669378,Mar-23,3,0
890623,Mar-23,2,0
818990,Mar-23,1,0
349294,Mar-23,3,1
552883,Mar-23,2,0
555121,Mar-23,3,0
89084,Mar-23,2,0
329351,Mar-23,3,0
324809,Mar-23,2,0
337168,Mar-23,2,0
659290,Mar-23,3,0
883013,Mar-23,3,0
455083,Mar-23,2,0
949818,Mar-23,3,0
361361,Mar-23,3,0
378230,Mar-23,3,0
762527,Mar-23,1,0
587420,Mar-23,2,0
491521,Mar-23,1,0
914071,Mar-23,2,0
567671,Mar-23,3,0
